id;title;age_range;area;subarea;location;prep_min;duration_min;materials;short_goal;setup;adult_role;easier;harder;observe;montessori_link;personality_link;source_ids;source_urls;evidence_tags
A016;Szájbarát rágóka-kosár;3-6 hó;Szenzoros;orális felfedezés;benti;1;15;2-3 biztonságos rágóka különböző textúrával;Biztonságos orális és tapintási felfedezés.;Tegyél ki kevés, jól tisztítható rágókát egy alacsony kosárba.;Ne vedd ki folyton a szájából, ha biztonságos és tiszta.;Egy rágóka.;Két textúra közötti választás.;Melyiket választja, mennyi ideig vizsgálja.;Választás kis körben.;Preferenciák, önnyugtatás.;PARENTS_SUBS2;https://www.parents.com/best-subscription-boxes-for-kids-8761973;"szenzoros; személyiség"
A017;Tükrös arcfigyelés;3-6 hó;Személyiség és kapcsolat;énérzékelés;benti;1;10;biztonságos baba-tükör;Arc, mimika és társas figyelem.;Tedd a tükröt hason vagy ölben elé, nevezz meg egyszerűen: „ott vagy”.;"Ne várj önfelismerést; ez még felfedezés.";Csak tükör.;Mimikázás, név ismétlése.;Mosoly, érintés, figyelmi idő.;Valós tárgy, önálló felfedezés.;Énélmény korai szenzoros alapjai.;PARENTING_META;https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602;"személyiség; nyelv"
A018;Lábakkal rugdosott csörgőzokni;3-6 hó;Nagymozgás;láb-testtudat;benti;1;8;csörgőzokni vagy puha textil;Lábak felfedezése és ok-okozat.;Rövid időre adj hangot adó zoknit, hagyd rugdosni.;Figyeld, nem zavarja-e a hang.;Hang nélküli zokni.;Lábhoz lógatott puha tárgy.;Észleli-e, hogy ő okozza a hangot.;Testtel szerzett tudás.;Énhatékonyság és saját test kontrollja.;PARENTS_SUBS2;https://www.parents.com/best-subscription-boxes-for-kids-8761973;"nagymozgás; ok-okozat"
A019;Egyszerű kukucs kendővel;3-6 hó;Személyiség és nyelv;tárgyállandóság, társas játék;benti;1;10;puha kendő;Társas várakozás és tárgyállandóság előkészítése.;Takard el röviden az arcod, majd mosolyogva előbújsz.;"Rövid legyen; ha megijed, csak tárgyat takarj el.";Tárgy takarása, nem arc.;A baba kezébe adod a kendőt.;Várakozik-e, mosolyog-e, meglepődik-e.;Ismétlés és társas kontextus.;Biztonságos kis bizonytalanság kezelése.;"BOOK_READING_META; PARENTING_META";"https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";"személyiség; nyelv"
A020;Két tárgy közötti választás;3-6 hó;Személyiség;választás, figyelem;benti;1;8;két biztonságos tárgy;Nagyon korai választási lehetőség és preferenciák figyelése.;Tegyél két tárgyat elé, egyiket jobbra, másikat balra.;Ne irányítsd: „melyiket kéred?” után vársz.;Egy tárgy.;Két hasonló tárgy, majd oldalcserével ellenőrzés.;Melyik felé néz/nyúl, marad-e stabil preferencia.;Montessori választás korai, limitált formája.;Autonómia csírái.;"LILLARD_BOOK; SELF_DRIVEN";"local PDF uploaded in ChatGPT conversation; local PDF uploaded in ChatGPT conversation";"személyiség; választás"
A021;Gurulásra hívó játék oldalt;3-6 hó;Nagymozgás;fordulás;benti;1;10;kedvelt tárgy;Fordulás előkészítése motiváló tárggyal.;"Tedd a tárgyat oldalra, ne túl messzire; hagyd próbálkozni.";Ne húzd át, csak térdhajlítással minimálisan segíthetsz.;Kisebb oldalra helyezés.;Tárgy kicsit távolabb, másik oldal.;Megindul-e törzs/láb, frusztrálódik-e.;Érdeklődésből induló mozgás.;Kompetenciaélmény.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;nagymozgás
A022;Fürdős fröcskölés megfigyeléssel;3-6 hó;Szenzoros;víz, ok-okozat;benti;0;5;fürdőkád, kéz;Vízérzékelés és ok-okozat.;Fürdéskor hagyd, hogy kezével/lábával vizet mozgasson.;"Biztonság első; ne sok játék legyen a kádban.";Csak víz érintése.;Puha pohár vízcsorgatással.;Élvezi-e, megijed-e, ismétli-e.;Valós környezetben tanulás.;Érzékszervi önszabályozás.;MONTESSORI_ACADEMY;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;"szenzoros; ok-okozat"
A023;Hangos könyv helyett élő hang;3-6 hó;Nyelv;hang, ritmus;benti;1;8;képeskönyv, szülői hang;Közös figyelem és ritmikus nyelv.;Mutass 2-3 képet, mondd el röviden mit látsz, hangutánzással.;A baba reakciójára válaszolj, ne olvasd végig mindenáron.;Egy kép.;Állathangok, tárgynevek váltása.;Hangadással válaszol-e, fixál-e.;Felnőtt interakció minősége.;Kapcsolódás, közös figyelem.;"BOOK_READING_META; PARENTING_META";"https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";nyelv
A024;Kinti textúraséta ölben;3-6 hó;Szenzoros;természet, tapintás;kinti;0;10;levél, fakéreg, fű biztonságosan;Valós anyagok érzékelése.;Ölben tartva érintsetek meg 2-3 természetes felületet.;"Mindig te kontrollálod a biztonságot; ne kerüljön szájba ismeretlen tárgy.";Csak nézés.;Kéz érintése, név: „érdes”, „puha”.;Elhúzza-e a kezét, érdeklődik-e.;Valós világ mint tananyag.;Biztonságos felfedezés.;MONTESSORI_ACADEMY;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;"szenzoros; természet"
A025;Tárgyállandóság: kendő alá rejtés;6-9 hó;Kogníció;tárgyállandóság;benti;1;10;kedvelt tárgy, kendő;Keresés, emlékezet és kitartás.;A tárgy egy részét láthatóan takard le kendővel.;"Ne oldd meg helyette; várj, majd örülj a megtalálásnak.";Félig takarás.;Teljes takarás, majd két kendő.;Keresi-e, felemeli-e a kendőt.;Konkrét manipulációval tanulás.;Kitartás és sikerélmény.;"LOVEVERY_BABBLER; GUIDED_PLAY_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730";"kogníció; tárgyállandóság"
A026;Kosárból ki-be pakolás;6-9 hó;Finommotorika;konténerjáték;benti;1;15;kosár, 4-5 nagy tárgy;Be-ki pakolás, térbeli viszonyok, ismétlés.;Tegyél néhány biztonságos tárgyat alacsony kosárba.;"Ne nevezd rendetlenségnek; ez tanulási forma.";Csak kiemelés.;Visszarakás bemutatása egy tárggyal.;Ki tudja-e venni, visszateszi-e, ismétli-e.;Rend és önálló munkaciklus előképe.;Önállóság és kontroll.;"MONTESSORI_ACADEMY; SPATIAL_META";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"finommotorika; téri"
A027;Egyszerű labdabedobás dobozba;6-9 hó;Finommotorika;posting, ok-okozat;benti;5;15;nagy labda, nagy lyukú doboz;Posting első verziója, ok-okozat és szem-kéz koordináció.;Mutasd meg egyszer, hogy a labda eltűnik a lyukban, majd kiesik.;A lyuk legyen nagy, hogy sikerüljön.;Nyitott kosárba dobás.;Kisebb nyílás, több labda.;Próbálja-e újra, keresi-e a labdát.;Izolált célú anyag, kontrollált hiba.;Énhatékonyság és kitartás.;"LOVEVERY_BABBLER; GUIDED_PLAY_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/cdev.13730";"finommotorika; ok-okozat"
A028;Ülő egyensúly körben tárgyakkal;6-9 hó;Nagymozgás;ülés, törzs;benti;1;10;párna, 3 tárgy;Törzskontroll és oldalra nyúlás.;Ülve tedd a tárgyakat félkörben elérhető távolságba.;Csak annyi biztosítás, amennyi a biztonsághoz kell.;Tárgy középen.;Oldalra, majd keresztbe nyúlás.;Melyik irányban stabil, kell-e támasz.;Mozgás és tárgyhasználat együtt.;Kompetencia, biztonságos kockázat.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;nagymozgás
A029;Egymásba rakható poharak;6-9 hó;Téri gondolkodás;méret, sorrend;benti;1;15;nesting cups vagy mérőpoharak;Méret, konténer, hang és térbeli viszonyok.;Adj 3-4 poharat, hagyd ütögetni, forgatni, egymásba tenni.;"Ne javítsd; a szabad manipuláció a fő tevékenység.";Két pohár.;Több pohár, toronyépítés.;Egymásba próbálja-e, torony ledöntés érdekli-e.;Sensorial és téri viszonyok.;Önálló problémamegoldás.;"PARENTS_SUBS2; SPATIAL_META";"https://www.parents.com/best-subscription-boxes-for-kids-8761973; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"téri; szenzoros"
A030;Csipesz nélküli ruhakosár pakolás;6-9 hó;Gyakorlati élet;rutinban részvétel;benti;1;10;tisztaruhás kosár;Valós családi tevékenységben részvétel.;Adj neki 3-4 puha ruhadarabot, amíg te hajtogatsz.;"Nem baj, ha szétszedi; legyen saját mini-kosara.";Egy kendő fogása.;Ruhák kosárból kosárba pakolása.;Kapcsolódik-e a rutinba, ismétel-e.;Practical life: valós tevékenység.;Családhoz tartozás, együttműködés első formája.;"MONTESSORI_ACADEMY; LILLARD_PRIMARY";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://montessori-science.org/Lillard_montessori_primary_classroom_survey_AMI_AMS_teacher_trainers.pdf";"practical_life; személyiség"
A031;Kanalak és fém tál hangjai;6-9 hó;Szenzoros;hang, ok-okozat;benti;1;10;fém tál, fakanál/fémkanál;Hangminőségek és ok-okozat.;Adj egy tálat és kanalat, mutasd meg egyszer a kopogást.;"Állítsd be a hangerőt a család toleranciájához; rövid blokk legyen.";Puha kanál halk tálhoz.;Két különböző anyag összehasonlítása.;Ismétli-e, változtatja-e az erőt.;Érzékszervi diszkrimináció.;Saját hatás megtapasztalása.;MONTESSORI_ACADEMY;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;"szenzoros; ok-okozat"
A032;Mutogatós képeslap-kosár;6-9 hó;Nyelv;receptív szókincs;benti;2;10;3-5 családi fotó vagy tárgykép;Közös figyelem és szókincs.;"Tegyél ki kevés képet: anya, apa, labda, kutya; mutass rá és mondd meg.";Ne kérdezgesd tesztként, inkább közös nézegetés.;2 kép.;Kép és valós tárgy párosítása.;Ránéz-e névre, mutat-e később.;Meaningful context: saját családi képek.;Kapcsolat és közös figyelem.;"BOOK_READING_META; PARENTING_META";"https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";nyelv
A033;Mászást hívó alacsony akadály;6-9 hó;Nagymozgás;kúszás/mászás előkészítése;benti;2;15;párna, törölközőhenger;Törzs, vállöv, problémamegoldás.;Tegyél puha hengert a kedvelt tárgy elé, de ne legyen túl magas.;Ne húzd át, csak biztosítsd a környezetet.;Sima talajon tárgyért nyúlás.;Párna körbemászása vagy átmászása.;Próbálkozik-e, oldalt választ-e.;Mozgásban megoldott probléma.;Kitartás, biztonságos frusztráció.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;nagymozgás
A034;Vízben úszó tárgyak kézzel;6-9 hó;Szenzoros;víz, tárgyak;benti/kinti;3;10;sekély tál víz, úszó nagy tárgyak;Víz, lebegés, kézhasználat.;"Tegyél kevés vizet tálba és nagy biztonságos tárgyakat; legyen törölköző.";Végig felügyelet, nem önálló játék.;Csak kéz a vízbe.;Két tárgy: lebegő és süllyedő nagy tárgy.;Megfogja-e a nedves tárgyat, fröcsköl-e.;Valós szenzoros tapasztalat.;Érzékszervi tolerancia.;MONTESSORI_ACADEMY;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;"szenzoros; tudomány"
A035;Tárgycsere játék;6-9 hó;Személyiség és kapcsolat;turn-taking előkészítése;benti;1;8;két tárgy;Kapcsolati ritmus és rugalmas figyelem.;"Adj tárgyat, majd kínálj másikat; ha elengedi, nevezd: „cserélünk”.";Ne vedd ki a kezéből erővel.;Második tárgy csak látható.;Kérés gesztussal: nyújtod a kezed.;Elengedi-e, tiltakozik-e, érdeklődik-e.;Grace and courtesy előképe.;Bizalom, kontrollérzés tisztelete.;"PARENTING_META; SELF_DRIVEN";"local PDF uploaded in ChatGPT conversation; https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003602";személyiség
A036;Kinti levélkosár nézegetés;6-9 hó;Természet és nyelv;szenzoros, szókincs;kinti;2;10;biztonságos nagy levelek, kosár;Természetes tárgyak szemlélete és közös figyelem.;Gyűjtsetek 2-3 nagy levelet, nézzétek meg együtt.;"Szájba vétel ellen figyelj; mérgező növény kerülendő.";Csak nézés.;Szín/méret megnevezés: nagy-kicsi.;Érdeklődés, óvatosság, textúrapreferencia.;Valós világ és érzékszervi anyag.;Kíváncsiság és közös élmény.;MONTESSORI_ACADEMY;https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/;"természet; nyelv"
A037;Formabedobó nagy körrel;9-12 hó;Finommotorika;posting, forma;benti;5;15;nagy kör nyílás, labda/korong;Szem-kéz koordináció és probléma megoldása.;Kezdd egyetlen nagy környílással és egy passzoló tárggyal.;Tartsd vissza a magyarázatot, mutasd meg egyszer.;Nyitott kosár.;Második forma hozzáadása.;Forgatja-e, próbálkozik-e, frusztrálódik-e.;Kontrollált hiba, izolált nehézség.;Kitartás és kompetencia.;"LOVEVERY_BABBLER; SPATIAL_META";"https://lovevery.com/products/the-play-kits-the-babbler; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"finommotorika; téri"
A038;Labdagurító lejtő;9-12 hó;Kogníció;ok-okozat, mozgás;benti;5;15;karton lejtő, labda;Ok-okozat, mozgásirány, ismétlés.;Támaszd meg a kartont alacsony lejtőként, labdát guríts le.;Utána hagyd, hogy ő tegye rá.;Lap padlón gurítás.;Két különböző méretű labda, célkosár.;Előrejelzi-e, hol jön ki a labda.;Konkrét tapasztalatból tanulás.;Saját akció hatása.;LOVEVERY_BABBLER;https://lovevery.com/products/the-play-kits-the-babbler;"ok-okozat; téri"
A039;Gyűrűs torony szétszedése;9-12 hó;Finommotorika;kézhasználat, méret;benti;1;15;gyűrűtorony;Lehúzás, sorrendiség előképe, kétkezes munka.;"Tedd elé összerakva; első cél a szétszedés, nem a helyes sorrend.";Ne javítsd a sorrendet ebben a korban.;Nagy gyűrűk.;Visszarakás próbálása.;Lehúzza-e, átveszi-e egyik kézből másikba.;Sensorial méretkülönbség, nem korai teljesítmény.;Önálló felfedezés.;"PARENTS_SUBS2; SPATIAL_META";"https://www.parents.com/best-subscription-boxes-for-kids-8761973; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"finommotorika; szenzoros"
A040;Bújócső vagy kartondoboz alagút;9-12 hó;Nagymozgás;mászás, tér;benti;5;15;nagy kartondoboz vagy alagút;Mászás, testtérkép, bátorság.;Nyiss két oldalt a dobozon, te ülj a túloldalra.;Ne húzd át, hívd, de tiszteld ha nem akarja.;Rövid doboz.;Hosszabb alagút, tárgy a túloldalon.;Megy-e bele, megáll-e, visszafordul-e.;Mozgásos felfedezés.;Biztonságos kockázat és autonómia.;MOVEMENT_META;https://pmc.ncbi.nlm.nih.gov/articles/PMC5745693/;"nagymozgás; személyiség"
A041;Tárgy és kép párosítás első verzió;9-12 hó;Nyelv;szókincs, kategória;benti;3;10;2 valós tárgy + képük;Receptív nyelv és reprezentáció.;"Tedd a labdát a labda képe mellé; mondd: „labda”.";"Ne kérd számon; csak nézegetitek.";Egy tárgy-egy kép.;Két-három pár.;Nézi-e a kapcsolatot, rámutat-e később.;Konkréttól az absztrakt felé.;Közös figyelem.;BOOK_READING_META;https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis;"nyelv; kogníció"
A042;Edényfedő illesztés;9-12 hó;Finommotorika;illesztés, méret;benti;1;15;2-3 műanyag edény és fedő;Méretpróba, téri gondolkodás, kézhasználat.;Adj 2 edényt és fedőt, nem kell helyesen illeszkednie elsőre.;Csak kommentálj: „próbálod rátenni”.;Egy edény-egy fedő.;Két eltérő méret.;Próbálja-e forgatni, cserélni.;Valós practical life előkészítés.;Kitartás és hibakezelés.;"MONTESSORI_ACADEMY; SPATIAL_META";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01938/full";"finommotorika; téri"
A043;Egyszerű hangutánzó állatok;9-12 hó;Nyelv;hangutánzás;benti;1;10;2-3 állatfigura vagy kép;Állathangok, szókincs és közös figyelem.;Mutass egy állatot, mondd a nevét és hangját, majd várj.;"Ne kérdezz túl sokat; ismétlés legyen játékos.";Egy állat.;Két állat közötti választás.;Utánoz-e hangot, rámutat-e.;Érdeklődés alapú nyelvi input.;Kapcsolódás és turn-taking.;BOOK_READING_META;https://www.mpi.nl/publications/item3165681/impact-shared-book-reading-childrens-language-skills-meta-analysis;nyelv
A044;Szekrényfiók biztonságos pakolása;9-12 hó;Gyakorlati élet;rutin, rend;benti;5;15;alsó fiók biztonságos tárgyakkal;Rend, be-ki pakolás, családi rutin.;Egy alsó fiók legyen „igen-fiók”, benne konyharuha, műanyag edény.;"Itt engedélyezett a pakolás; így kevesebb tiltás kell.";Kosár.;Tárgyak visszarakása közösen.;Visszatér-e, pakol-e célszerűen.;Előkészített környezet.;Autonómia biztonságos keretek között.;"MONTESSORI_ACADEMY; SELF_DRIVEN";"https://montessoriacademy.com.au/montessori-education/montessori-learning-materials/; local PDF uploaded in ChatGPT conversation";"practical_life; személyiség"
